name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
UD Almería,35,24.2,17,2.02,70.60
Girona FC,40,24.7,13,908Th,36.33
Rayo Vallecano,36,25.5,11,829Th,29.85
Real Zaragoza,38,24.7,12,609Th,23.15
Málaga CF,48,23.7,15,422Th,20.28
CF Fuenlabrada,34,24.6,10,435Th,14.80
Real Oviedo,34,25.2,6,399Th,13.55
SD Ponferradina,34,25.2,8,338Th,11.50
CD Castellón ,36,27.4,4,278Th,10.00
CD Lugo,36,25.9,7,245Th,8.83
CE Sabadell FC ,33,26.5,2,217Th,7.15
RCD Espanyol Barcelona ,37,24.2,7,2.16,80.00
RCD Mallorca ,39,25.5,13,1.31,50.95
CD Leganés ,39,26.2,10,884Th,34.48
Sporting Gijón,37,24.5,6,646Th,23.90
UD Las Palmas,42,24.8,8,485Th,20.35
CD Mirandés,35,23.7,7,474Th,16.60
CD Tenerife,38,25.5,10,361Th,13.70
FC Cartagena ,43,27.0,14,305Th,13.10
Albacete Balompié,36,25.9,11,282Th,10.15
UD Logroñés ,36,26.3,6,264Th,9.50
AD Alcorcón,34,26.0,8,247Th,8.40
