name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
Rayo Vallecano ,42,25.4,11,904Th,37.98
UD Las Palmas,43,26.3,10,786Th,33.80
SD Huesca ,32,25.8,7,959Th,30.68
Cádiz CF,41,26.5,12,523Th,21.45
Sporting Gijón,33,25.6,7,589Th,19.43
Elche CF,35,25.3,5,447Th,15.65
CD Tenerife,31,25.8,7,473Th,14.68
CD Lugo,37,25.8,11,335Th,12.40
CD Numancia,37,25.0,5,299Th,11.08
SD Ponferradina ,33,26.7,8,321Th,10.60
CF Fuenlabrada ,35,26.2,7,296Th,10.35
Girona FC ,37,26.1,10,1.12,41.38
Deportivo de La Coruña,42,26.0,15,833Th,35.00
UD Almería,44,24.5,17,763Th,33.55
Real Zaragoza,36,25.3,13,705Th,25.38
Málaga CF,37,24.2,12,542Th,20.05
Real Oviedo,35,26.6,7,464Th,16.25
Albacete Balompié,37,26.4,12,406Th,15.03
CD Mirandés ,31,25.5,13,436Th,13.53
Racing Santander ,37,26.6,7,314Th,11.63
AD Alcorcón,32,26.4,8,332Th,10.63
Extremadura UD,36,26.6,9,292Th,10.50
