name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
UD Las Palmas ,40,27.4,9,929Th,37.15
Granada CF,29,26.3,5,1.05,30.40
Cádiz CF,37,26.8,12,750Th,27.75
Albacete Balompié,38,25.5,17,655Th,24.90
UD Almería,37,25.5,10,604Th,22.35
RCD Mallorca ,33,26.2,11,629Th,20.75
CD Lugo,41,25.3,10,459Th,18.80
CF Rayo Majadahonda ,33,26.3,5,506Th,16.70
Real Oviedo,31,26.6,7,527Th,16.35
Elche CF ,36,27.4,7,422Th,15.20
CF Reus Deportiu,27,25.2,5,333Th,9.00
Málaga CF ,39,26.4,20,1.22,47.40
Deportivo de La Coruña ,33,27.6,9,1.12,36.85
CA Osasuna,30,26.0,0,942Th,28.25
CD Tenerife,33,26.5,10,783Th,25.85
Sporting Gijón,35,25.0,10,700Th,24.50
Real Zaragoza,35,25.9,10,621Th,21.75
Extremadura UD ,48,27.0,12,399Th,19.15
Córdoba CF,41,25.6,8,415Th,17.00
Gimnàstic de Tarragona,49,25.5,18,339Th,16.60
CD Numancia,37,25.7,6,434Th,16.05
AD Alcorcón,38,26.9,5,346Th,13.15
