name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
Granada CF ,24,27.8,7,1.77,42.50
Deportivo Alavés ,22,25.3,11,1.29,28.40
SD Eibar,23,28.1,5,1.17,26.80
UD Las Palmas,25,26.1,5,932Th,23.30
Málaga CF,24,28.1,5,825Th,19.80
CD Mirandés,23,23.3,3,813Th,18.70
CD Tenerife,24,27.2,5,700Th,16.80
UD Ibiza,26,26.3,8,542Th,14.10
FC Cartagena,24,29.0,7,529Th,12.70
Burgos CF,24,27.3,2,500Th,12.00
CD Lugo,22,26.7,8,332Th,7.30
Levante UD ,24,26.8,6,2.00,48.10
Sporting Gijón,22,26.6,7,1.35,29.70
Real Zaragoza,25,26.2,8,1.11,27.80
Real Oviedo,24,26.3,5,1.01,24.30
CD Leganés,23,27.8,8,1.00,23.00
SD Huesca,24,27.0,7,813Th,19.50
Villarreal CF B ,26,21.8,8,685Th,17.80
FC Andorra ,27,24.9,5,530Th,14.30
SD Ponferradina,22,27.0,10,636Th,14.00
Racing Santander ,25,26.0,4,500Th,12.50
Albacete Balompié ,26,25.6,6,462Th,12.00
