name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
Real Madrid,32,24.5,15,29.85,955.35
Valencia CF,30,24.3,14,13.27,398.05
Athletic Bilbao,33,25.9,1,7.56,249.40
Villarreal CF,40,25.4,15,5.50,220.00
Real Betis Balompié,31,25.9,10,4.27,132.25
UD Las Palmas,38,26.9,15,2.40,91.25
Deportivo Alavés,33,25.1,12,2.27,74.80
Getafe CF ,36,26.6,18,1.82,65.60
SD Eibar,33,26.8,9,1.82,60.05
Málaga CF,40,25.8,17,1.38,55.20
FC Barcelona,32,26.3,17,34.19,1.09b
Atlético de Madrid,36,25.4,20,19.75,711.15
Sevilla FC,33,26.5,20,7.67,253.20
Real Sociedad,29,26.3,6,8.03,232.95
Celta de Vigo,32,24.5,16,5.41,173.05
RCD Espanyol Barcelona,29,27.3,7,3.37,97.80
Girona FC ,30,25.4,14,2.73,81.75
Deportivo de La Coruña,36,26.8,18,1.85,66.45
Levante UD ,37,25.2,15,1.67,61.85
CD Leganés,34,26.8,15,1.72,58.55
