name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
Sporting Gijón,33,25.5,6,909Th,30.00
Rayo Vallecano,31,27.5,12,831Th,25.75
CA Osasuna ,28,27.1,3,777Th,21.75
Sevilla Atlético,37,20.7,7,503Th,18.60
Córdoba CF,41,25.4,8,394Th,16.15
Cultural Leonesa ,29,26.6,8,516Th,14.95
CD Lugo,33,25.3,6,448Th,14.80
Real Zaragoza,29,25.2,8,484Th,14.05
CD Numancia,28,26.3,4,461Th,12.90
CD Tenerife,31,26.7,6,366Th,11.35
CF Reus Deportiu,28,27.0,6,361Th,10.10
FC Barcelona B ,38,20.7,7,1.33,50.70
Real Valladolid CF,34,25.4,7,800Th,27.20
Granada CF,31,26.4,14,716Th,22.20
SD Huesca,29,26.7,7,747Th,21.65
Cádiz CF,35,26.2,9,511Th,17.90
UD Almería,34,25.6,12,471Th,16.00
Gimnàstic de Tarragona,40,25.2,14,371Th,14.83
Real Oviedo,33,26.2,11,429Th,14.15
Albacete Balompié ,38,27.0,9,343Th,13.05
Lorca FC ,39,26.4,11,294Th,11.45
AD Alcorcón,33,28.1,7,340Th,11.23
