name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
Real Madrid,37,24.8,17,21.28,787.30
Sevilla FC,38,25.6,17,11.01,418.25
Villarreal CF,36,25.9,13,8.13,292.60
Real Betis Balompié,33,26.8,12,6.29,207.70
Getafe CF,33,25.4,19,5.15,170.10
Granada CF,44,24.9,17,2.79,122.65
CA Osasuna,36,27.0,7,2.69,96.75
Deportivo Alavés,35,25.6,10,2.28,79.80
Real Valladolid CF,39,26.9,9,1.62,63.05
Elche CF ,42,26.7,14,1.09,45.65
FC Barcelona,32,25.1,20,25.42,813.50
Atlético de Madrid,39,24.9,21,19.82,773.10
Real Sociedad,38,24.7,6,10.70,406.60
Valencia CF,35,24.7,20,7.97,278.85
Athletic Bilbao,32,25.9,2,6.38,204.15
Celta de Vigo,41,24.3,12,3.80,155.85
Levante UD,34,26.5,10,3.32,113.00
SD Eibar,34,27.1,9,2.45,83.40
SD Huesca ,34,26.5,8,1.89,64.10
Cádiz CF ,41,27.2,16,1.16,47.65
