name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
Granada CF ,24,27.7,7,1.90,45.60
Real Zaragoza,25,26.2,8,1.10,27.55
SD Eibar,23,28.1,5,1.16,26.60
UD Las Palmas,25,26.0,5,974Th,24.35
Málaga CF,24,28.1,5,846Th,20.30
CD Mirandés,23,23.2,3,770Th,17.70
CD Tenerife,24,27.2,5,692Th,16.60
SD Ponferradina,22,27.0,10,625Th,13.75
Albacete Balompié ,26,25.5,6,477Th,12.40
FC Cartagena,23,28.8,7,524Th,12.05
CD Lugo,22,26.7,8,303Th,6.68
Levante UD ,24,26.8,6,2.03,48.60
Sporting Gijón,22,26.6,7,1.38,30.45
Deportivo Alavés ,22,25.2,11,1.25,27.40
Real Oviedo,23,26.5,5,1.06,24.40
CD Leganés,23,27.8,8,996Th,22.90
SD Huesca,24,27.0,7,792Th,19.00
Villarreal CF B ,25,21.9,8,672Th,16.80
UD Ibiza,26,26.3,8,542Th,14.10
FC Andorra ,27,24.9,5,500Th,13.50
Racing Santander ,25,26.0,4,492Th,12.30
Burgos CF,24,27.3,2,488Th,11.70
