name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
UD Almería,36,25.3,12,1.77,63.75
Girona FC,40,23.6,8,951Th,38.05
Sporting Gijón,42,24.3,7,720Th,30.25
SD Eibar ,33,27.3,6,886Th,29.25
UD Las Palmas,37,25.2,8,691Th,25.55
Real Oviedo,34,25.5,5,665Th,22.60
CD Tenerife,37,26.1,7,565Th,20.90
CF Fuenlabrada,42,25.8,17,357Th,14.98
UD Ibiza ,34,26.8,5,362Th,12.30
AD Alcorcón,47,26.4,8,199Th,9.38
CD Lugo,38,26.3,5,236Th,8.98
Real Valladolid CF ,42,26.6,10,1.59,66.65
CD Leganés,44,26.2,11,967Th,42.55
Real Sociedad B ,39,21.5,4,835Th,32.55
SD Huesca ,38,25.9,9,787Th,29.90
Real Zaragoza,40,25.4,7,693Th,27.70
Málaga CF,42,24.2,9,583Th,24.50
CD Mirandés,33,23.7,7,668Th,22.05
SD Ponferradina,32,26.0,8,486Th,15.55
FC Cartagena,39,27.5,11,362Th,14.10
SD Amorebieta ,30,28.8,0,333Th,10.00
Burgos CF ,27,27.7,1,343Th,9.25
