name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
Atlético de Madrid,37,24.2,17,26.21,969.70
Valencia CF,33,24.8,17,15.14,499.65
Real Sociedad,33,24.1,9,9.12,300.95
Athletic Bilbao,32,26.8,3,7.32,234.25
Villarreal CF,32,27.5,12,7.21,230.65
Getafe CF,28,27.3,13,4.72,132.20
Deportivo Alavés,29,25.9,10,3.82,110.80
Girona FC,33,25.9,12,2.95,97.25
Rayo Vallecano ,36,26.2,12,2.41,86.70
SD Huesca ,39,26.7,15,1.57,61.40
FC Barcelona,39,24.7,20,29.72,1.16b
Real Madrid,36,24.7,15,24.89,896.10
Sevilla FC,38,26.1,21,8.06,306.30
Real Betis Balompié,34,25.4,15,8.55,290.75
Celta de Vigo,30,25.3,19,7.80,234.10
RCD Espanyol Barcelona,30,26.8,9,5.82,174.70
CD Leganés,38,25.9,19,2.96,112.45
Levante UD,31,25.8,10,3.48,107.85
SD Eibar,29,27.6,8,3.24,93.90
Real Valladolid CF ,41,25.1,8,2.02,83.00
