name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
FC Barcelona,47,25.1,23,15.65,735.60
Villarreal CF,39,26.0,15,10.48,408.90
Real Sociedad,40,24.7,8,9.42,376.95
Real Betis Balompié,38,27.5,13,6.82,259.00
Getafe CF,43,25.2,18,4.85,208.68
Celta de Vigo,34,25.5,11,3.53,120.00
Granada CF,39,26.5,16,2.66,103.75
RCD Mallorca ,41,25.7,15,1.81,74.15
Cádiz CF,37,27.3,14,1.83,67.80
Deportivo Alavés,43,25.1,15,1.52,65.35
Real Madrid,36,25.7,19,21.41,770.75
Atlético de Madrid,43,25.3,24,15.39,661.80
Sevilla FC,43,25.7,21,8.95,385.00
Valencia CF,44,23.6,20,7.06,310.60
Athletic Bilbao,31,25.7,1,7.29,226.05
RCD Espanyol Barcelona ,38,25.4,7,3.46,131.60
CA Osasuna,32,26.9,4,3.39,108.45
Levante UD,42,26.3,12,1.85,77.90
Elche CF,37,27.4,12,1.97,72.98
Rayo Vallecano ,36,26.2,14,1.87,67.20
